1 0 15128 486472 501600
2 4 23328 488496 511824
3 0 28560 490192 518752
4 4 33792 491680 525472
5 4 39024 493000 532024
6 0 44256 494304 538560
7 4 49488 496576 546064
8 4 54720 498344 553064
9 8 59952 499592 559544
10 4 65184 501480 566664
11 4 70416 503744 574160
12 8 75648 506024 581672
13 8 80880 508104 588984
14 8 86112 510248 596360
15 12 91344 512456 603800
16 8 96576 514480 611056
17 12 101808 516480 618288
18 16 107040 518872 625912
19 12 112272 521672 633944
20 16 117504 524464 641968
21 16 122736 526456 649192
22 16 127968 529704 657672
23 16 133200 532416 665616
24 20 138432 535488 673920
25 24 143664 538064 681728
26 24 148896 540960 689856
27 24 154128 543944 698072
28 24 159360 546400 705760
29 24 164592 550088 714680
30 24 169824 552672 722496
31 28 175056 556488 731544
32 28 180288 559784 740072
33 32 185520 562560 748080
34 32 190752 566568 757320
35 32 195984 569792 765776
36 32 201216 573016 774232
37 36 206448 577216 783664
38 40 211680 580648 792328
39 44 216912 584400 801312
40 44 222144 588456 810600
41 48 227376 592328 819704
42 48 232608 595680 828288
43 48 237840 600264 838104
44 52 243072 603736 846808
45 52 248304 608448 856752
46 52 253536 612640 866176
47 56 258768 616896 875664
48 60 264000 620640 884640
49 60 269232 625608 894840
50 64 274464 629480 903944
51 64 279696 633984 913680
52 68 284928 638568 923496
53 72 290160 643784 933944
54 68 295392 648488 943880
55 72 300624 652664 953288
56 76 305856 657840 963696
57 84 311088 662976 974064
58 84 316320 667696 984016
59 88 321552 672704 994256
60 92 326784 677808 1004592
61 88 332016 683208 1015224
62 100 337248 688160 1025408
63 96 342480 693448 1035928
64 104 347712 699048 1046760
65 104 352944 703872 1056816
66 112 358176 709352 1067528
67 116 363408 714880 1078288
68 116 368640 720808 1089448
69 124 373872 726480 1100352
70 128 379104 732744 1111848
71 128 384336 738000 1122336
72 132 389568 743856 1133424
73 136 394800 749776 1144576
74 140 400032 756008 1156040
75 144 405264 762056 1167320
76 152 410496 767920 1178416
77 156 415728 774344 1190072
78 160 420960 780336 1201296
79 164 426192 786888 1213080
80 164 431424 792672 1224096
81 172 436656 799688 1236344
82 180 441888 806184 1248072
83 180 447120 812744 1259864
84 184 452352 819120 1271472
85 192 457584 825808 1283392
86 196 462816 832808 1295624
87 200 468048 839040 1307088
88 204 473280 846256 1319536
89 212 478512 853448 1331960
90 212 483744 859872 1343616
91 224 488976 866944 1355920
92 232 494208 874400 1368608
93 232 499440 881280 1380720
94 236 504672 889120 1393792
95 244 509904 895872 1405776
96 244 515136 903264 1418400
97 256 520368 910720 1431088
98 264 525600 918576 1444176
99 264 530832 925824 1456656
100 276 536064 934056 1470120
