1 0 4312 482880 487192
2 0 17152 485208 502360
3 0 39552 486728 526280
4 4 99272 488400 587672
5 4 271848 490128 761976
6 12 699848 492112 1191960
7 24 1610864 493512 2104376
8 88 3766608 496312 4262920
9 464 9400120 498680 9898800
10 2764 23544064 501112 24045176
11 16453 58147824 503688 58651512
12 113159 144785400 506376 145291776
